Estado, , , , , Datos, , , 
, , 2016, , 2015, , 2016, , 2015
, Semana, Acum-M, Acum-F, Acum, Semana, Acum-M, Acum-F, Acum
Aguascalientes, NA, NA, NA, 2, 5, 20, 1, 1
Baja California, NA, NA, 44, 51, 216, 23, 9, NA
Baja California Sur, NA, NA, NA, 131, 104, 118, 3, 1
Campeche, NA, NA, NA, 24, 29, 55, 3, 1
Chiapas, NA, NA, NA, 253, 231, 357, 8, 2
Chihuahua, NA, NA, NA, 79, 80, 172, 3, 3
Coahuila, NA, NA, 53, 42, 74, 7, 10, NA
Colima, NA, NA, NA, 9, 16, 59, 2, NA
Distrito Federal, NA, 324, 227, 617, 77, 16, NA, NA
Durango, NA, NA, NA, 157, 108, 172, 2, 1
Guanajuato, NA, NA, 251, 282, 562, 13, 1, NA
Guerrero, NA, NA, NA, 96, 97, 271, 9, 2
Hidalgo, NA, NA, NA, 143, 125, 365, 21, 8
Jalisco, NA, NA, NA, 207, 182, 514, 43, 15
Michoacán, NA, NA, NA, 133, 125, 551, 4, 3
Morelos, NA, NA, NA, 90, 75, 211, 4, 2
México, NA, NA, NA, 131, 142, 382, 50, 29
Nayarit, NA, NA, NA, 113, 94, 223, 5, 1
Nuevo León, NA, NA, NA, 37, 22, 116, 25, 4
Oaxaca, NA, NA, NA, 132, 140, 566, 9, 11
Puebla, NA, NA, 89, 76, 234, 38, 6, NA
Querétaro, NA, NA, NA, 282, 299, 533, 4, 2
Quintana Roo, NA, NA, NA, 27, 35, 89, 9, 4
San Luis Potosí, NA, NA, NA, 68, 72, 241, 9, 1
Sinaloa, NA, 00, 488, 373, 738, 33, 24, 41
Sonora, NA, NA, NA, 141, 121, 371, 11, 34
Tabasco, NA, NA, 78, 80, 96, 12, 3, 14
Tamaulipas, NA, NA, 52, 69, 211, 23, 10, 23
Tlaxcala, NA, NA, NA, 13, 13, 205, 3, NA
Veracruz, NA, NA, 109, 93, 330, 40, 10, 44
Yucatán, NA, NA, 163, 124, 482, 14, 1, 25
Zacatecas, NA, NA, NA, 66, 56, 191, 3, NA
TOTAL, NA, 59, 3985, 3588, 9342, 511, 185, 756
